author,file,label,lat,license,lon,observation_id,observed_on,page_id,photo_id,source,source_url
"<a href=""//commons.wikimedia.org/wiki/User:DimiTalen"" title=""User:DimiTalen"">DimiTalen</a>",ai_dataset/negative/commons_156248111.jpg,no_niscalo,,cc0,,,,156248111,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Grassland_and_pine_forest_along_Red_Beds_Trail,_Devils_Tower_National_Monument,_2009.jpg"
"<a href=""//commons.wikimedia.org/wiki/User:Pinakpani"" title=""User:Pinakpani"">Pinakpani</a>",ai_dataset/negative/commons_167195691.jpg,no_niscalo,,cc by 4.0,,,,167195691,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Rishop_Pine_forest_at_6_mile,_Rishop_13.jpg"
evgeniy_marinkin,ai_dataset/positive/inat_397207277_728496064.jpg,niscalo,55.3504860034,cc-by,59.4824511185,397207277,2026-09-04,,728496064,iNaturalist,https://www.inaturalist.org/observations/397207277
Z3lvs,ai_dataset/negative/commons_142699973.jpg,no_niscalo,,cc0,,,,142699973,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_18.jpg
"<a href=""//commons.wikimedia.org/wiki/User:Pinakpani"" title=""User:Pinakpani"">Pinakpani</a>",ai_dataset/negative/commons_167195671.jpg,no_niscalo,,cc by 4.0,,,,167195671,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Rishop_Pine_forest_at_6_mile,_Rishop_04.jpg"
"<a href=""//commons.wikimedia.org/w/index.php?title=User:Suraj_Sankar&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Suraj Sankar (page does not exist)"">Suraj S</a>",ai_dataset/negative/commons_49494675.jpg,no_niscalo,,cc by-sa 4.0,,,,49494675,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pine_forest_at_evening.jpg
"<a href=""//commons.wikimedia.org/wiki/User:Ymblanter"" title=""User:Ymblanter"">Ymblanter</a>",ai_dataset/negative/commons_99185266.jpg,no_niscalo,,cc by-sa 4.0,,,,99185266,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Veluwezoom_NP_Pine_forest_1.jpg
"<a href=""https://ar.wikipedia.org/wiki/%D9%85%D8%B3%D8%AA%D8%AE%D8%AF%D9%85:Bassem19"" class=""extiw"" title=""ar:مستخدم:Bassem19"">Bassem</a>",ai_dataset/negative/commons_18803053.jpg,no_niscalo,,cc by-sa 3.0,,,,18803053,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:R'as_Al-matn_pine_forest-Lebanon.jpg
"<a href=""//commons.wikimedia.org/wiki/User:LBM1948"" title=""User:LBM1948"">LBM1948</a>",ai_dataset/negative/commons_110744927.jpg,no_niscalo,,cc by-sa 4.0,,,,110744927,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest,_California_1989_53.jpg"
prokhozhyj,ai_dataset/positive/inat_401915345_737747687.jpg,niscalo,55.9131484928,cc-by,38.30320557,401915345,2026-09-16,,737747687,iNaturalist,https://www.inaturalist.org/observations/401915345
sowjaka,ai_dataset/positive/inat_396299484_726765818.jpg,niscalo,55.2998194444,cc-by,58.1368722222,396299484,2026-08-25,,726765818,iNaturalist,https://www.inaturalist.org/observations/396299484
sowjaka,ai_dataset/positive/inat_396162690_726490522.jpg,niscalo,55.2997777778,cc-by,58.1369222222,396162690,2026-08-25,,726490522,iNaturalist,https://www.inaturalist.org/observations/396162690
"<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/196"">Richard Webb</a> <span class=""mw-valign-text-top noprint"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:Pine_forest,_Loch_Arkaig_-_geograph.org.uk_-_7170580.jpg#P170"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png?utm_source=commons.wikimedia.org&amp;utm_campaign=parser&amp;utm_content=thumbnail"" decoding=""async"" loading=""lazy"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>",ai_dataset/negative/commons_157515596.jpg,no_niscalo,,cc by-sa 2.0,,,,157515596,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Pine_forest,_Loch_Arkaig_-_geograph.org.uk_-_7170580.jpg"
"<a href=""//commons.wikimedia.org/wiki/User:Mrs.Snipping"" title=""User:Mrs.Snipping"">Mrs.Snipping</a>",ai_dataset/negative/commons_73815918.jpg,no_niscalo,,cc by-sa 4.0,,,,73815918,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pine_Forest_v.jpg
"<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/6597"">Stephen Craven</a> <span class=""mw-valign-text-top noprint"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:Birch_and_pine_in_Delamere_Forest_-_geograph.org.uk_-_5241017.jpg#P170"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png?utm_source=commons.wikimedia.org&amp;utm_campaign=parser&amp;utm_content=thumbnail"" decoding=""async"" loading=""lazy"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>",ai_dataset/negative/commons_135756208.jpg,no_niscalo,,cc by-sa 2.0,,,,135756208,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Birch_and_pine_in_Delamere_Forest_-_geograph.org.uk_-_5241017.jpg
piotr3,ai_dataset/positive/inat_401183663_736316795.jpg,niscalo,52.5844017,cc-by,16.9826352,401183663,2026-09-18,,736316795,iNaturalist,https://www.inaturalist.org/observations/401183663
brettpim,ai_dataset/positive/inat_398258021_730552231.jpg,niscalo,45.41949384,cc-by-sa,-75.82872447,398258021,2026-09-07,,730552231,iNaturalist,https://www.inaturalist.org/observations/398258021
Z3lvs,ai_dataset/negative/commons_142699848.jpg,no_niscalo,,cc0,,,,142699848,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_1.jpg
Z3lvs,ai_dataset/negative/commons_142699920.jpg,no_niscalo,,cc0,,,,142699920,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_8.jpg
sowjaka,ai_dataset/positive/inat_396299344_726765493.jpg,niscalo,55.2997916667,cc-by,58.1369555556,396299344,2026-08-25,,726765493,iNaturalist,https://www.inaturalist.org/observations/396299344
daniel_buczkiewicz,ai_dataset/positive/inat_400186286_734318402.jpg,niscalo,50.2705217581,cc-by,16.8668299913,400186286,2026-09-14,,734318402,iNaturalist,https://www.inaturalist.org/observations/400186286
"<a href=""//commons.wikimedia.org/w/index.php?title=User:Cyril_Okeke&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Cyril Okeke (page does not exist)"">Cyril Okeke</a>",ai_dataset/negative/commons_60480627.jpg,no_niscalo,,cc by-sa 4.0,,,,60480627,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ngwo_Pine_Forest_Ngwo_Enugu.jpg
Z3lvs,ai_dataset/negative/commons_142699965.jpg,no_niscalo,,cc0,,,,142699965,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_14.jpg
piotr3,ai_dataset/positive/inat_401183663_736316749.jpg,niscalo,52.5844017,cc-by,16.9826352,401183663,2026-09-18,,736316749,iNaturalist,https://www.inaturalist.org/observations/401183663
"<a href=""//commons.wikimedia.org/wiki/User:Alexkom000"" title=""User:Alexkom000"">Alexkom000</a>",ai_dataset/negative/commons_197941733.jpg,no_niscalo,,cc by 4.0,,,,197941733,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2026-08-09_Pine_forest_in_Ferrel_3.jpg
vlesu55,ai_dataset/positive/inat_395191571_724598167.jpg,niscalo,56.41193,cc-by,75.30677,395191571,2026-08-28,,724598167,iNaturalist,https://www.inaturalist.org/observations/395191571
"<a href=""//commons.wikimedia.org/wiki/User:Pinakpani"" title=""User:Pinakpani"">Pinakpani</a>",ai_dataset/negative/commons_167195661.jpg,no_niscalo,,cc by 4.0,,,,167195661,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Rishop_Pine_forest_at_6_mile,_Rishop_01.jpg"
rust_bucket,ai_dataset/positive/inat_400727593_735412838.jpg,niscalo,44.3160714997,cc-by,-70.66298,400727593,2026-09-15,,735412838,iNaturalist,https://www.inaturalist.org/observations/400727593
"<a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20161029194643/http://www.panoramio.com/user/7237194?with_photo_id=108882857"">Andrey Nagaycev</a>",ai_dataset/negative/commons_57955626.jpg,no_niscalo,,cc by-sa 3.0,,,,57955626,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pine_forest._-_panoramio.jpg
ksaro1,ai_dataset/positive/inat_398074022_730194357.jpg,niscalo,56.6669389112,cc-by,-2.7247845133,398074022,2026-09-07,,730194357,iNaturalist,https://www.inaturalist.org/observations/398074022
"<a href=""//commons.wikimedia.org/wiki/User:Z3lvs"" title=""User:Z3lvs"">Z3lvs</a>",ai_dataset/negative/commons_175400872.jpg,no_niscalo,,cc0,,,,175400872,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hispaniolan_Pine_Forests_Ecoregion_-_Relief_Map_Angle.png
yggdrasi,ai_dataset/positive/inat_399052528_732098962.jpg,niscalo,40.6935554,cc-by,-110.9594541,399052528,2026-09-09,,732098962,iNaturalist,https://www.inaturalist.org/observations/399052528
naturalist57011,ai_dataset/positive/inat_398130888_730302061.jpg,niscalo,56.8119305556,cc-by,37.3861222222,398130888,2026-09-06,,730302061,iNaturalist,https://www.inaturalist.org/observations/398130888
anarkhyra,ai_dataset/positive/inat_402092373_738105891.jpg,niscalo,46.8771546117,cc0,-71.3664384931,402092373,2026-09-19,,738105891,iNaturalist,https://www.inaturalist.org/observations/402092373
Z3lvs,ai_dataset/negative/commons_142700022.jpg,no_niscalo,,cc0,,,,142700022,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_23.jpg
yggdrasi,ai_dataset/positive/inat_399052528_732096743.jpg,niscalo,40.6935554,cc-by,-110.9594541,399052528,2026-09-09,,732096743,iNaturalist,https://www.inaturalist.org/observations/399052528
andreaseriksson,ai_dataset/positive/inat_394132989_722514352.jpg,niscalo,63.4103805556,cc-by,14.94445,394132989,2026-08-24,,722514352,iNaturalist,https://www.inaturalist.org/observations/394132989
Z3lvs,ai_dataset/negative/commons_142699937.jpg,no_niscalo,,cc0,,,,142699937,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_10.jpg
sowjaka,ai_dataset/positive/inat_396299530_726765951.jpg,niscalo,55.2998194444,cc-by,58.1368722222,396299530,2026-08-25,,726765951,iNaturalist,https://www.inaturalist.org/observations/396299530
andrejus,ai_dataset/positive/inat_398801749_731584229.jpg,niscalo,55.1904486801,cc-by,25.79064294,398801749,2026-09-05,,731584229,iNaturalist,https://www.inaturalist.org/observations/398801749
"<a href=""//commons.wikimedia.org/wiki/User:Rama"" title=""User:Rama"">Rama</a>",ai_dataset/negative/commons_64919440.jpg,no_niscalo,,cc by-sa 3.0 fr,,,,64919440,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Landscape_with_Rocks_and_Pine_Forest-AA_281-IMG_8993.JPG
"<a href=""//commons.wikimedia.org/wiki/User:Stitchbird2"" title=""User:Stitchbird2"">Heidi Meudt</a>",ai_dataset/negative/commons_153861698.jpg,no_niscalo,,cc by 4.0,,,,153861698,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pine_forest_in_Rio_Lobos_Canyon_Natural_Park.jpg
evgeniy_marinkin,ai_dataset/positive/inat_399236264_732455571.jpg,niscalo,55.3547439083,cc-by,59.4632314146,399236264,2026-09-11,,732455571,iNaturalist,https://www.inaturalist.org/observations/399236264
andrejus,ai_dataset/positive/inat_398831792_731667921.jpg,niscalo,55.18948791,cc-by,25.8151125501,398831792,2026-09-08,,731667921,iNaturalist,https://www.inaturalist.org/observations/398831792
sowjaka,ai_dataset/positive/inat_396160585_726765157.jpg,niscalo,55.2997694444,cc-by,58.1368222222,396160585,2026-08-25,,726765157,iNaturalist,https://www.inaturalist.org/observations/396160585
rust_bucket,ai_dataset/positive/inat_400727593_735412802.jpg,niscalo,44.3160714997,cc-by,-70.66298,400727593,2026-09-15,,735412802,iNaturalist,https://www.inaturalist.org/observations/400727593
heavykevy13,ai_dataset/positive/inat_395610472_725399521.jpg,niscalo,46.4695829452,cc-by,-86.6765847802,395610472,2026-08-29,,725399521,iNaturalist,https://www.inaturalist.org/observations/395610472
jokerrr83,ai_dataset/positive/inat_401345377_736622973.jpg,niscalo,50.28265314,cc-by,13.83203991,401345377,2026-09-18,,736622973,iNaturalist,https://www.inaturalist.org/observations/401345377
Z3lvs,ai_dataset/negative/commons_142700110.jpg,no_niscalo,,cc0,,,,142700110,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_33.jpg
"<a href=""//commons.wikimedia.org/wiki/User:Alexkom000"" title=""User:Alexkom000"">Alexkom000</a>",ai_dataset/negative/commons_176164689.jpg,no_niscalo,,cc by 4.0,,,,176164689,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2025-10-05_Pine_forest_north_of_Ferrel_2.jpg
"<a href=""//commons.wikimedia.org/w/index.php?title=User:Historianengineer&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Historianengineer (page does not exist)"">Historianengineer</a>",ai_dataset/negative/commons_155696905.jpg,no_niscalo,,cc0,,,,155696905,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Pine_trees_in_the_Florya_Atatürk_Forest,_2023-07-19.jpg"
Richard Murrin,ai_dataset/negative/commons_95863267.jpg,no_niscalo,,cc by 2.0,,,,95863267,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pine_Forest_near_Bab_Berred_Morocco.jpg
sowjaka,ai_dataset/positive/inat_396064187_726298339.jpg,niscalo,55.2998333333,cc-by,58.1371888889,396064187,2026-08-25,,726298339,iNaturalist,https://www.inaturalist.org/observations/396064187
"<a href=""//commons.wikimedia.org/wiki/User:Tagooty"" title=""User:Tagooty"">Timothy Gonsalves</a>",ai_dataset/negative/commons_94856689.jpg,no_niscalo,,cc by-sa 4.0,,,,94856689,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Burnt_Pine_Forest_Salgi_Himachal_Jul19_D72_11268.jpg
"<a href=""//commons.wikimedia.org/wiki/User:Z3lvs"" title=""User:Z3lvs"">Z3lvs</a>",ai_dataset/negative/commons_177222819.jpg,no_niscalo,,cc by-sa 4.0,,,,177222819,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sierra_Madre_Oriental_Pine-Oak_Forests_Ecoregion.png
Z3lvs,ai_dataset/negative/commons_142700104.jpg,no_niscalo,,cc0,,,,142700104,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_31.jpg
Z3lvs,ai_dataset/negative/commons_142700017.jpg,no_niscalo,,cc0,,,,142700017,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_24.jpg
"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/77742560@N06"">shankar s.</a> from Dubai, united arab emirates",ai_dataset/negative/commons_67769954.jpg,no_niscalo,,cc by 2.0,,,,67769954,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Artificial_pine_forest_in_Vagamon_(27946447893).jpg
sarie_parie,ai_dataset/positive/inat_395303172_724810733.jpg,niscalo,60.7691702382,cc0,23.3756265789,395303172,2026-08-28,,724810733,iNaturalist,https://www.inaturalist.org/observations/395303172
"<a href=""//commons.wikimedia.org/wiki/User:LelikSTB"" title=""User:LelikSTB"">LelikSTB</a>",ai_dataset/negative/commons_68888828.jpg,no_niscalo,,cc by-sa 4.0,,,,68888828,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:В_світле_майбатнє.jpg
"<a href=""//commons.wikimedia.org/wiki/User:Pinakpani"" title=""User:Pinakpani"">Pinakpani</a>",ai_dataset/negative/commons_167195680.jpg,no_niscalo,,cc by 4.0,,,,167195680,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Rishop_Pine_forest_at_6_mile,_Rishop_07.jpg"
"<a href=""//commons.wikimedia.org/wiki/User:Z3lvs"" title=""User:Z3lvs"">Z3lvs</a>",ai_dataset/negative/commons_177222822.jpg,no_niscalo,,cc by-sa 4.0,,,,177222822,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sierra_Madre_Occidental_Pine-Oak_Forests_Ecoregion.png
sowjaka,ai_dataset/positive/inat_396160585_726765180.jpg,niscalo,55.2997694444,cc-by,58.1368222222,396160585,2026-08-25,,726765180,iNaturalist,https://www.inaturalist.org/observations/396160585
arthur_ab_frogman,ai_dataset/positive/inat_395053038_724320050.jpg,niscalo,45.3605033333,cc-by,-75.6938466667,395053038,2026-08-26,,724320050,iNaturalist,https://www.inaturalist.org/observations/395053038
"<a href=""//commons.wikimedia.org/wiki/User:Alexkom000"" title=""User:Alexkom000"">Alexkom000</a>",ai_dataset/negative/commons_197941727.jpg,no_niscalo,,cc by 4.0,,,,197941727,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2026-08-09_Pine_forest_in_Ferrel_1.jpg
sowjaka,ai_dataset/positive/inat_396160585_726486097.jpg,niscalo,55.2997694444,cc-by,58.1368222222,396160585,2026-08-25,,726486097,iNaturalist,https://www.inaturalist.org/observations/396160585
anarkhyra,ai_dataset/positive/inat_402094305_738112044.jpg,niscalo,46.8773844817,cc0,-71.3670034334,402094305,2026-09-19,,738112044,iNaturalist,https://www.inaturalist.org/observations/402094305
sowjaka,ai_dataset/positive/inat_396066385_726309862.jpg,niscalo,55.299825,cc-by,58.1368916667,396066385,2026-08-25,,726309862,iNaturalist,https://www.inaturalist.org/observations/396066385
naturalist57011,ai_dataset/positive/inat_399589847_733140140.jpg,niscalo,55.8421138889,cc-by,39.0684444444,399589847,2026-09-11,,733140140,iNaturalist,https://www.inaturalist.org/observations/399589847
"<a href=""//commons.wikimedia.org/w/index.php?title=User:Sridharao&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Sridharao (page does not exist)"">Sridhar Rao</a>",ai_dataset/negative/commons_86418376.jpg,no_niscalo,,cc by-sa 4.0,,,,86418376,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Uttarakhand_Pine_Forest.jpg
vlesu55,ai_dataset/positive/inat_395191571_724598176.jpg,niscalo,56.41193,cc-by,75.30677,395191571,2026-08-28,,724598176,iNaturalist,https://www.inaturalist.org/observations/395191571
"<a href=""//commons.wikimedia.org/wiki/User:LBM1948"" title=""User:LBM1948"">LBM1948</a>",ai_dataset/negative/commons_110744436.jpg,no_niscalo,,cc by-sa 4.0,,,,110744436,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest,_California_1989_40.jpg"
manuela9012,ai_dataset/positive/inat_400789048_735533215.jpg,niscalo,46.3826533333,cc-by,11.78018,400789048,2026-09-10,,735533215,iNaturalist,https://www.inaturalist.org/observations/400789048
"<a href=""//commons.wikimedia.org/wiki/User:Vanischenu"" class=""mw-redirect"" title=""User:Vanischenu"">Vanischenu</a>",ai_dataset/negative/commons_23316168.jpg,no_niscalo,,cc by-sa 3.0,,,,23316168,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vagamon_pine_forest_1.jpg
anarkhyra,ai_dataset/positive/inat_402092373_738105844.jpg,niscalo,46.8771546117,cc0,-71.3664384931,402092373,2026-09-19,,738105844,iNaturalist,https://www.inaturalist.org/observations/402092373
"<a href=""//commons.wikimedia.org/w/index.php?title=User:Totila123&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Totila123 (page does not exist)"">Totila123</a>",ai_dataset/negative/commons_179359307.jpg,no_niscalo,,cc0,,,,179359307,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Pine_and_Birch_Forest_in_Autumn,_Szczecin.jpg"
sowjaka,ai_dataset/positive/inat_396062084_726297870.jpg,niscalo,55.2998638889,cc-by,58.1368583333,396062084,2026-08-25,,726297870,iNaturalist,https://www.inaturalist.org/observations/396062084
Z3lvs,ai_dataset/negative/commons_142699899.jpg,no_niscalo,,cc0,,,,142699899,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_5.jpg
Z3lvs,ai_dataset/negative/commons_142700111.jpg,no_niscalo,,cc0,,,,142700111,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_32.jpg
arthur_ab_frogman,ai_dataset/positive/inat_395053038_724320046.jpg,niscalo,45.3605033333,cc-by,-75.6938466667,395053038,2026-08-26,,724320046,iNaturalist,https://www.inaturalist.org/observations/395053038
sowjaka,ai_dataset/positive/inat_396064187_726298259.jpg,niscalo,55.2998333333,cc-by,58.1371888889,396064187,2026-08-25,,726298259,iNaturalist,https://www.inaturalist.org/observations/396064187
"<a href=""//commons.wikimedia.org/wiki/User:Alexkom000"" title=""User:Alexkom000"">Alexkom000</a>",ai_dataset/negative/commons_176164688.jpg,no_niscalo,,cc by 4.0,,,,176164688,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2025-10-05_Pine_forest_north_of_Ferrel_3.jpg
